epochs,val_loss,val_acc,loss,acc,config
0,5.275507717132569,0.02,5.281836833953857,0.004799999892711639,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
1,5.2510026264190675,0.04,5.267141594808485,0.007809371070941544,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
2,5.1973386573791505,0.02,5.201915731430054,0.010999999754130841,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
3,5.141654572486877,0.0,5.155019287686851,0.010812975328995984,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
4,5.202087368965149,0.0,5.137761601267407,0.010612735055569032,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
5,5.189926033020019,0.0,5.1280741691589355,0.011799999736249447,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
6,5.117547965049743,0.02,5.124295151992755,0.013015618462012584,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
7,5.019795312881469,0.04,5.09889440536499,0.013199999704957008,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
8,5.11637095451355,0.0,5.069854399849522,0.019823788103159302,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
9,5.096424403190613,0.02,5.069298038589606,0.013215858735439536,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 50, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 50}"
